number;department;section;name;full_name;char;type;doc_diff;status;date_pub;papers
;10;;20380.10.25845;Извещение об изменении;;Извещение об изменении;20380.360080.118-01;;19.03.2021;А4 - 1
;10;;20380.360080.118-01;Перечень топлив, масел, смазок и специальных жидкостей, применяемых на корабле;3;Перечень;;;19.03.2021;
;10;;20380.10.25846;Извещение об изменении;;Извещение об изменении;20380.360060.473;;24.03.2021;А4 - 1
;10;;20380.360060.473;Химмотологическая карта корвета проекта 20380;а3;Перечень;;;24.03.2021;
;10;;20380.10.26060;Извещение об изменении;;Извещение об изменении;20380.360080.1132-01,20380.360080.1139-01ЭД;;25.03.2021;А4 - 1
;10;;20380.360080.1132-01;;2;;;;25.03.2021;
;10;;20380.360080.1139-01ЭД;;3;;;;25.03.2021;
;10;;20380.10.26197;Извещение об изменении;;Извещение об изменении;20380.360203.503;;04.06.2021;А4 - 2
;10;;20380.360203.503;;а3;Спецификация;;;04.06.2021;
;10;;20380.10.26907;Извещение об изменении;;Извещение об изменении;20380-903-1047;;08.09.2021;А4 - 1
;10;;20380-903-1047;;а2;;;;08.09.2021;
;10;;20380.10.26946;Извещение об изменении;;Извещение об изменении;20380-310-501;;12.10.2021;А4 - 1
;10;;20380-310-501;Ведомость применения декоративно-отделочных материалов (Исполнительная);а2;Ведомость;;;12.10.2021;
;12;;20380.12.25512;Извещение об изменении;;Извещение об изменении;20380-655.00-503Э4;;10.06.2021;А4 - 4
;12;;20380-655.00-503Э4;"КТС ОПА ""Гамма-01Ф"". Охранная сигнализация. Схема электрическая соединений";2;Схема электрическая соединений (монтажная);;;10.06.2021;
;12;;20380.12.26051;Извещение об изменении;;Извещение об изменении;20380.360203.509-02;;15.03.2021;А4 - 2
;12;;20380.360203.509-02;;а3;Спецификация;;;15.03.2021;
;12;;20380.12.26312;Извещение об изменении;;Извещение об изменении;20380-655.00-007Э4,20380-655-551;;27.05.2021;А4 - 1
;12;;20380-655.00-007Э4;Система корабельного мониторинга;4;Схема электрическая соединений (монтажная);;;27.05.2021;
;12;;20380-655-551;Ведомость контрагентской документации. Схемы электрические соединений и подключений систем автоматики;а2;Ведомость;;;27.05.2021;
;12;;20380.12.26394;Извещение об изменении;;Извещение об изменении;20380-655.00-011Э4,20380-655.00-019Э4,20380-655.00-024Э4,20380-655.00-063Э4,20380-655.24-034Э4,20380-655.26-017Э4;;01.07.2021;А4 - 4
;12;;20380-655.00-011Э4;"КСУ ТС ""Фауна-20380"" Управление двигателями и редукторами.Схема электрических соединений.";7;Схема электрическая соединений (монтажная);;;01.07.2021;
;12;;20380-655.00-019Э4;;7;;;;01.07.2021;
;12;;20380-655.00-024Э4;"КСУ ТС ""Фауна-20380"". Система управления ОКС ""Зайсан-20380""";10;Схема электрическая соединений (монтажная);;;01.07.2021;
;12;;20380-655.00-063Э4;Сигнализация положения дверей в главных водонепроницаемых переборках.;3;Схема электрическая соединений (монтажная);;;01.07.2021;
;12;;20380-655.24-034Э4;Управление опреснительными установками и насосами пресной воды. Схема электрическая соединений.;5;Схема электрическая соединений (монтажная);;;01.07.2021;
;12;;20380-655.26-017Э4;Контроль давления воздуха в баллонах специзделий. Схема электрическая соединений.;6;Схема электрическая соединений (монтажная);;;01.07.2021;
;12;;20380.12.26710;Извещение об изменении;;Извещение об изменении;20380-691.00-511;;01.07.2021;А4 - 2
;12;;20380-691.00-511;Ведомость маркировки и отличительной окраски электрооборудования систем автоматики.;а3;Ведомость маркировки;;;01.07.2021;
;12;;20380.12.26760;Извещение об изменении;;Извещение об изменении;20380.360268.515;;20.07.2021;А4 - 2
;12;;20380.360268.515;"Ведомость заказа комплектующего оборудования к изделию ""Гамма--01Ф""";а3;Ведомость заказа;;;20.07.2021;
;12;;20380.12.26791;Извещение об изменении;;Извещение об изменении;20380-655.03-053Э4;;26.08.2021;А4 - 1
;12;;20380-655.03-053Э4;Управление топливной системой ЛАК. Схема электрическая соединений;8;Схема электрическая соединений (монтажная);;;26.08.2021;
;12;;20380.12.26794;Извещение об изменении;;Извещение об изменении;20380-655.00-008Э4;;27.08.2021;А4 - 2
;12;;20380-655.00-008Э4;Сигнализация о наличии воды в отсеках. Схема электрическая соединений.;5;Схема электрическая соединений (монтажная);;;27.08.2021;
;12;;20380.12.26800;Извещение об изменении;;Извещение об изменении;20380-655.23-055Э4;;22.09.2021;А4 - 3
;12;;20380-655.23-055Э4;Управление системой пожаротушения тонкораспыленной водой. Схема электрическая соединений.;5;Схема электрическая соединений (монтажная);;;22.09.2021;
;12;;20380.12.26806;Извещение об изменении;;Извещение об изменении;20380-655.02-039Э4;;26.08.2021;А4 - 3
;12;;20380-655.02-039Э4;Управление системой нефтесодержащих и трюмных вод. Схема электрическая соединений.;7;Схема электрическая соединений (монтажная);;;26.08.2021;
;12;;20380.12.26825;Извещение об изменении;;Извещение об изменении;20380-655.00-035Э4;;27.08.2021;А4 - 5
;12;;20380-655.00-035Э4;Управление системами машинных вентиляций НМО, КМО, ДГО. Схема электрическая соединений.;4;Схема электрическая соединений (монтажная);;;27.08.2021;
;12;;20380.12.26873;Извещение об изменении;;Извещение об изменении;20380-655.24-034Э4;;26.08.2021;А4 - 4
;12;;20380-655.24-034Э4;Управление опреснительными установками и насосами пресной воды. Схема электрическая соединений.;6;Схема электрическая соединений (монтажная);;;26.08.2021;
;12;;20380.12.26874;Извещение об изменении;;Извещение об изменении;20380-655.00-020Э4;;26.08.2021;А4 - 3
;12;;20380-655.00-020Э4;"КСУ ТС ""Фауна-20380"""". Система централизованного питания ""Котангенс-20380"""". Схема электрическая соединений.";9;Схема электрическая соединений (монтажная);;;26.08.2021;
;12;;20380.12.26930;Извещение об изменении;;Извещение об изменении;20380-655.00-024Э4;;02.09.2021;А4 - 2
;12;;20380-655.00-024Э4;"КСУ ТС ""Фауна-20380"". Система управления ОКС ""Зайсан-20380""";11;Схема электрическая соединений (монтажная);;;02.09.2021;
;12;;20380.12.27014;Извещение об изменении;;Извещение об изменении;20380-691.00-511;;05.10.2021;А4 - 2
;12;;20380-691.00-511;Ведомость маркировки и отличительной окраски электрооборудования систем автоматики.;а4;Ведомость маркировки;;;05.10.2021;
;14;;20380.14.25755;Извещение об изменении;;Извещение об изменении;20380-810-114;;25.05.2021;А4 - 3
;14;;20380-810-114;Ведомость снабжения инвентарным имуществом и инструментом. Механическое и электротехническое имущество (нетабельное имущество);14;Ведомость;;;25.05.2021;
;14;;20380.14.25825;Извещение об изменении;;Извещение об изменении;20380.360238.401;;19.01.2021;А4 - 2
;14;;20380.360238.401;Ведомость заказа мебели и изделий для оборудования помещений и палуб Исполнительная;1;Ведомость;;;19.01.2021;
;14;;20380.14.25850;Извещение об изменении;;Извещение об изменении;20380.360238.302;;29.03.2021;А4 - 1
;14;;20380.360238.302;Ведомость заказа скобяных изделий Исполнительная;9;Ведомость;;;29.03.2021;
;14;;20380.14.25938;Извещение об изменении;;Извещение об изменении;20380-810-107;;11.01.2021;А4 - 2
;14;;20380-810-107;Ведомость снабжения инвентарным имуществом и инструментом.Аварийно-спасательное имущество (БЧ-5);23;Ведомость;;;11.01.2021;
;14;;20380.14.25948;Извещение об изменении;;Извещение об изменении;20380-810-106;;04.03.2021;А4 - 7
;14;;20380-810-106;Ведомость снабжения инвентарным имуществом и инструментом. Имущество химической службы.;15;Ведомость;;;04.03.2021;
;14;;20380.14.25957;Извещение об изменении;;Извещение об изменении;20380.360268.103;;14.01.2021;А4 - 2
;14;;20380.360268.103;Ведомость заказа осветительной аппаратуры и установочной арматуры. Исполнительная;73;Ведомость;;;14.01.2021;
;14;;20380.14.25977;Извещение об изменении;;Извещение об изменении;20380.360238.401;;15.02.2021;А4 - 2
;14;;20380.360238.401;Ведомость заказа мебели и изделий для оборудования помещений и палуб Исполнительная;2;Ведомость;;;15.02.2021;
